CSCO.O, 13.99
GOOG.O, 15.44
AAPL.O, 31.56
FB.O, 15.44
TWTR.N, -59.20
MSFT, 26.17
YHOO, 9.25
6758.T, -5.77
AMZN, 1.87
INTC, 18.22

